P,G(i),H_sun,T2m,WS10m,Int,hora,mes,Valor probable fut
271.2,320.95,8.63,4.78,2.9,0.0,9,1,466.72
470.35,551.63,15.84,7.27,2.48,0.0,10,1,598.08
597.81,716.53,21.07,9.59,2.28,0.0,11,1,663.38
658.86,803.49,23.81,11.27,2.21,0.0,12,1,646.13
648.42,793.04,23.74,12.44,2.34,0.0,13,1,570.97
581.42,707.29,20.86,13.16,2.41,0.0,14,1,428.66
435.8,525.04,15.52,13.32,2.62,0.0,15,1,216.29
227.45,282.39,8.21,12.85,2.55,0.0,16,1,0.0
0.0,0.0,0.0,11.72,2.76,0.0,17,1,0.0
0.0,0.0,0.0,10.3,2.9,0.0,18,1,0.0
0.0,0.0,0.0,8.96,3.03,0.0,19,1,0.0
0.0,0.0,0.0,8.05,2.9,0.0,20,1,0.0
0.0,0.0,0.0,7.26,2.83,0.0,21,1,0.0
0.0,0.0,0.0,6.57,2.69,0.0,22,1,0.0
0.0,0.0,0.0,6.0,2.69,0.0,23,1,0.0
0.0,0.0,0.0,5.54,2.69,0.0,0,1,0.0
0.0,0.0,0.0,5.15,2.69,0.0,1,1,0.0
0.0,0.0,0.0,4.89,2.69,0.0,2,1,0.0
0.0,0.0,0.0,4.71,2.69,0.0,3,1,0.0
0.0,0.0,0.0,3.44,2.76,0.0,4,1,0.0
0.0,0.0,0.0,3.3,2.76,0.0,5,1,0.0
0.0,0.0,0.0,3.23,2.83,0.0,6,1,0.0
0.0,0.0,0.0,3.11,2.76,0.0,7,1,0.0
0.0,0.0,0.0,2.91,2.76,0.0,8,1,271.2
265.08,312.67,8.68,3.55,2.62,0.0,9,1,470.35
466.72,546.86,15.92,6.75,2.28,0.0,10,1,597.81
598.08,717.84,21.17,9.35,2.07,0.0,11,1,658.86
663.38,814.04,23.93,11.17,1.79,0.0,12,1,648.42
646.13,803.49,23.88,12.42,1.24,0.0,13,1,581.42
570.97,711.09,21.01,13.15,0.69,0.0,14,1,435.8
428.66,528.46,15.68,13.48,0.41,0.0,15,1,216.29
231.18,290.1,8.37,13.38,0.62,0.0,16,1,0.0
0.0,0.0,0.0,12.32,1.24,0.0,17,1,0.0
0.0,0.0,0.0,10.11,1.72,0.0,18,1,0.0
0.0,0.0,0.0,8.44,2.0,0.0,19,1,0.0
0.0,0.0,0.0,7.3,2.14,0.0,20,1,0.0
0.0,0.0,0.0,6.47,2.34,0.0,21,1,0.0
0.0,0.0,0.0,5.88,2.55,0.0,22,1,0.0
0.0,0.0,0.0,5.38,2.48,0.0,23,1,0.0
0.0,0.0,0.0,5.02,2.28,0.0,0,1,0.0
0.0,0.0,0.0,4.73,2.28,0.0,1,1,0.0
0.0,0.0,0.0,4.37,2.48,0.0,2,1,0.0
0.0,0.0,0.0,4.25,2.55,0.0,3,1,0.0
0.0,0.0,0.0,4.21,2.55,0.0,4,1,0.0
0.0,0.0,0.0,4.18,2.62,0.0,5,1,0.0
0.0,0.0,0.0,4.25,2.76,0.0,6,1,0.0
0.0,0.0,0.0,4.5,2.76,0.0,7,1,0.0
0.0,0.0,0.0,4.44,2.69,0.0,8,1,265.08
276.29,326.29,8.74,3.92,2.34,0.0,9,1,466.72
469.17,552.02,16.0,7.72,2.34,0.0,10,1,598.08
534.54,641.76,21.28,10.46,2.0,0.0,11,1,663.38
461.88,564.16,24.06,12.21,0.83,0.0,12,1,648.42
380.01,463.04,24.03,13.05,1.03,0.0,13,1,434.58
310.06,378.47,21.17,13.09,0.97,0.0,14,1,28.27
168.66,212.53,15.84,12.86,1.38,0.0,15,1,204.49
45.95,70.35,8.54,12.44,0.69,0.0,16,1,104.71
0.0,0.0,0.0,11.69,0.97,0.0,17,1,0.0
0.0,0.0,0.0,10.84,0.97,0.0,18,1,0.0
0.0,0.0,0.0,10.42,1.1,0.0,19,1,0.0
0.0,0.0,0.0,9.5,1.45,0.0,20,1,0.0
0.0,0.0,0.0,9.03,1.72,0.0,21,1,0.0
0.0,0.0,0.0,8.8,2.0,0.0,22,1,0.0
0.0,0.0,0.0,9.61,2.83,0.0,23,1,0.0
0.0,0.0,0.0,10.32,3.24,0.0,0,1,0.0
0.0,0.0,0.0,10.78,2.97,0.0,1,1,0.0
0.0,0.0,0.0,11.0,3.52,0.0,2,1,0.0
0.0,0.0,0.0,11.14,3.86,0.0,3,1,0.0
0.0,0.0,0.0,11.27,4.55,0.0,4,1,0.0
0.0,0.0,0.0,11.04,5.03,0.0,5,1,0.0
0.0,0.0,0.0,10.75,4.9,0.0,6,1,0.0
0.0,0.0,0.0,10.27,4.97,0.0,7,1,0.0
0.0,0.0,0.0,10.59,4.48,0.0,8,1,36.61
45.2,68.78,8.8,10.92,4.83,0.0,9,1,158.25
53.46,78.8,16.08,11.18,4.83,0.0,10,1,122.46
61.95,89.0,21.39,11.5,4.55,0.0,11,1,74.91
54.86,80.66,24.2,11.71,4.69,0.0,12,1,48.03
44.83,68.61,24.18,11.85,5.52,0.0,13,1,718.11
23.34,41.72,21.34,11.78,5.52,0.0,14,1,278.69
41.79,64.9,16.01,11.78,5.24,0.0,15,1,112.07
52.63,77.93,8.71,11.8,5.31,0.0,16,1,0.0
0.0,0.0,0.0,11.65,4.9,0.0,17,1,0.0
0.0,0.0,0.0,11.64,4.55,0.0,18,1,0.0
0.0,0.0,0.0,11.63,4.28,0.0,19,1,0.0
0.0,0.0,0.0,11.73,4.41,0.0,20,1,0.0
0.0,0.0,0.0,11.94,4.48,0.0,21,1,0.0
0.0,0.0,0.0,12.03,4.34,0.0,22,1,0.0
0.0,0.0,0.0,12.04,4.07,0.0,23,1,0.0
0.0,0.0,0.0,12.13,3.86,0.0,0,1,0.0
0.0,0.0,0.0,11.78,3.45,0.0,1,1,0.0
0.0,0.0,0.0,11.84,3.17,0.0,2,1,0.0
0.0,0.0,0.0,11.95,3.24,0.0,3,1,0.0
0.0,0.0,0.0,11.93,3.03,0.0,4,1,0.0
0.0,0.0,0.0,12.01,2.9,0.0,5,1,0.0
0.0,0.0,0.0,11.93,3.03,0.0,6,1,0.0
0.0,0.0,0.0,12.01,3.52,0.0,7,1,0.0
0.0,0.0,0.0,11.99,3.17,0.0,8,1,16.99
10.45,24.1,8.87,12.07,2.97,0.0,9,1,211.15
133.4,171.16,16.18,12.13,2.83,0.0,10,1,108.25
149.01,189.52,21.51,12.28,2.69,0.0,11,1,25.17
224.14,275.07,24.34,12.35,2.69,0.0,12,1,550.84
197.45,244.72,24.34,12.34,2.76,0.0,13,1,626.28
49.99,75.1,21.51,12.27,2.76,0.0,14,1,319.53
66.53,94.68,16.19,12.07,2.34,0.0,15,1,78.32
26.95,46.46,8.89,11.9,1.93,0.0,16,1,0.0
0.0,0.0,0.0,11.61,1.59,0.0,17,1,0.0
0.0,0.0,0.0,11.28,1.17,0.0,18,1,0.0
0.0,0.0,0.0,11.13,0.48,0.0,19,1,0.0
0.0,0.0,0.0,10.95,0.62,0.0,20,1,0.0
0.0,0.0,0.0,10.75,0.76,0.0,21,1,0.0
