P;G(i);H_sun;T2m;WS10m;Int;hora;mes;Valor probable fut
0;0;0;601;669;0;7;1;6972
0;0;0;603;634;0;8;1;31698
28961;34149;956;628;545;0;9;1;33874
50349;57739;1703;689;634;0;10;1;56514
62351;71549;2253;735;717;0;11;1;61726
67319;77542;2553;757;724;0;12;1;62388
71595;82548;2566;765;759;0;13;1;42666
64959;74483;2289;753;779;0;14;1;35937
51276;58592;1758;723;772;0;15;1;31156
26709;31468;1025;682;772;0;16;1;549
0;0;0;616;759;0;17;1;0
0;0;0;553;731;0;18;1;0
0;0;0;55;71;0;19;1;0
0;0;0;521;683;0;20;1;0
0;0;0;511;641;0;21;1;0
0;0;0;504;593;0;22;1;0
0;0;0;494;538;0;23;1;0
0;0;0;48;566;0;0;1;0
0;0;0;48;469;0;1;1;0
0;0;0;487;545;0;2;1;0
0;0;0;487;531;0;3;1;0
0;0;0;486;497;0;4;1;0
0;0;0;48;421;0;5;1;0
0;0;0;474;421;0;6;1;0
0;0;0;479;414;0;7;1;0
0;0;0;485;421;0;8;1;5447
3903;5995;968;52;428;0;9;1;48653
5321;7695;1717;611;462;0;10;1;58896
844;11311;2271;703;524;0;11;1;68259
7362;10105;2573;774;607;0;12;1;4702
3492;5563;2587;816;628;0;13;1;1453
3494;5563;2311;81;641;0;14;1;8262
4571;6861;1779;802;628;0;15;1;5444
15454;19141;1046;765;586;0;16;1;0
0;0;0;712;538;0;17;1;0
0;0;0;616;517;0;18;1;0
0;0;0;601;497;0;19;1;0
0;0;0;567;49;0;20;1;0
0;0;0;554;483;0;21;1;0
0;0;0;539;469;0;22;1;0
0;0;0;521;428;0;23;1;0
0;0;0;49;352;0;0;1;0
0;0;0;447;31;0;1;1;0
0;0;0;413;31;0;2;1;0
0;0;0;395;317;0;3;1;0
0;0;0;39;317;0;4;1;0
0;0;0;39;317;0;5;1;0
0;0;0;389;317;0;6;1;0
0;0;0;357;31;0;7;1;111
0;0;0;359;31;0;8;1;3839
30188;35511;981;436;303;0;9;1;40271
50052;58302;1733;675;324;0;10;1;63603
63296;74093;2289;865;476;0;11;1;66565
70754;83534;2593;967;517;0;12;1;67769
70827;84014;2609;1038;503;0;13;1;55782
64216;7596;2333;1073;483;0;14;1;36607
50599;59464;1802;1078;49;0;15;1;12348
3043;3643;1068;1037;462;0;16;1;549
0;0;0;937;441;0;17;1;0
0;0;0;808;448;0;18;1;0
0;0;0;73;386;0;19;1;0
0;0;0;68;345;0;20;1;0
0;0;0;639;324;0;21;1;0
0;0;0;602;31;0;22;1;0
0;0;0;563;303;0;23;1;0
0;0;0;503;276;0;0;1;0
0;0;0;45;269;0;1;1;0
0;0;0;39;262;0;2;1;0
0;0;0;336;255;0;3;1;0
0;0;0;292;255;0;4;1;0
0;0;0;25;248;0;5;1;0
0;0;0;215;241;0;6;1;0
0;0;0;219;255;0;7;1;0
0;0;0;213;255;0;8;1;18622
2717;31973;995;288;228;0;9;1;4260
47772;5607;1749;619;186;0;10;1;59848
54573;65282;2307;846;159;0;11;1;70328
61749;7550;2614;987;124;0;12;1;66758
65295;81925;2631;1081;48;0;13;1;5984
38464;46814;2356;1121;34;0;14;1;43132
52951;64915;1824;1138;76;0;15;1;32077
3058;37442;109;113;9;0;16;1;0
0;0;0;1086;103;0;17;1;0
0;0;0;926;11;0;18;1;0
0;0;0;861;124;0;19;1;0
0;0;0;88;124;0;20;1;0
0;0;0;817;131;0;21;1;0
0;0;0;705;152;0;22;1;0
0;0;0;667;152;0;23;1;0
0;0;0;661;145;0;0;1;0
0;0;0;582;159;0;1;1;0
0;0;0;487;172;0;2;1;0
0;0;0;457;166;0;3;1;0
0;0;0;44;152;0;4;1;0
0;0;0;408;159;0;5;1;0
0;0;0;363;159;0;6;1;0
